iter	Passed	Remaining
435	74237	181167
436	74424	181036
437	74604	180889
438	74770	180708
439	74933	180521
440	75131	180416
441	75278	180191
442	75461	180052
443	75605	179819
444	75772	179640
445	75972	179539
446	76164	179420
447	76352	179292
448	76518	179112
449	76679	178919
450	76883	178826
451	77052	178653
452	77197	178422
453	77378	178278
454	77552	178115
455	77710	177917
456	77875	177733
457	78080	177640
458	78238	177443
459	78419	177296
460	78579	177102
461	78741	176912
462	78920	176761
463	79085	176577
464	79253	176403
465	79421	176226
466	79582	176036
467	79759	175880
468	79921	175690
469	80086	175508
470	80263	175353
471	80487	175299
472	80674	175165
473	80847	174999
474	81011	174814
475	81181	174641
476	81346	174460
477	81515	174286
478	81676	174094
479	81845	173922
480	81998	173713
481	82174	173555
482	82349	173393
483	82498	173177
484	82655	172980
485	82806	172769
486	82976	172598
487	83127	172388
488	83280	172182
489	83463	172037
490	83651	171903
491	83886	171865
492	84102	171786
493	84279	171629
494	84451	171462
495	84637	171322
496	84819	171175
497	84985	170995
498	85190	170892
499	85473	170946
500	85651	170789
501	85835	170646
502	86040	170541
503	86224	170395
504	86389	170212
505	86556	170034
506	86742	169891
507	86915	169725
508	87104	169588
509	87288	169443
510	87462	169275
511	87629	169096
512	87792	168910
513	87958	168729
514	88126	168552
515	88306	168398
516	88472	168217
517	88649	168057
518	88828	167902
519	88993	167719
520	89162	167544
521	89321	167349
522	89477	167149
523	89657	166996
524	89829	166826
525	90012	166676
526	90184	166508
527	90358	166341
528	90540	166190
529	90709	166015
530	90885	165852
531	91056	165682
532	91230	165515
533	91397	165337
534	91562	165154
535	91731	164979
536	91900	164805
537	92092	164671
538	92262	164497
539	92433	164326
540	92612	164168
541	92794	164017
542	92956	163829
543	93140	163681
544	93300	163490
545	93470	163316
546	93635	163134
547	93814	162977
548	93985	162805
549	94174	162665
550	94342	162488
551	94497	162289
552	94685	162147
553	94848	161962
554	95030	161808
555	95226	161678
556	95394	161502
557	95553	161310
558	95718	161128
559	95891	160960
560	96058	160781
561	96237	160624
562	96440	160505
563	96620	160348
564	96797	160187
565	97000	160067
566	97156	159871
567	97313	159676
568	97468	159478
569	97633	159296
570	97825	159159
571	97995	158985
572	98222	158904
573	98384	158717
574	98561	158554
575	98734	158386
576	98905	158214
577	99074	158039
578	99247	157870
579	99428	157713
580	99588	157524
581	99766	157364
582	99932	157183
583	100220	157195
584	100453	157120
585	100674	157024
586	100867	156885
587	101080	156778
588	101271	156635
589	101435	156451
590	101603	156274
591	101778	156105
592	101933	155907
593	102100	155728
594	102272	155558
595	102440	155379
596	102613	155209
597	102790	155044
598	102962	154872
599	103126	154689
600	103277	154487
601	103561	154482
602	103752	154338
603	103950	154204
604	104134	154050
605	104331	153915
606	104533	153785
607	104740	153665
608	104915	153497
609	105072	153302
610	105266	153161
611	105451	153008
612	105622	152833
613	105787	152650
614	105957	152475
615	106113	152279
616	106266	152080
617	106434	151900
618	106600	151720
619	106759	151529
620	106928	151353
621	107099	151178
622	107274	151010
623	107442	150832
624	107585	150619
625	107749	150436
626	107897	150230
627	108057	150041
628	108212	149845
629	108355	149633
630	108527	149461
631	108687	149273
632	108859	149101
633	109016	148909
634	109189	148738
635	109355	148557
636	109508	148361
637	109686	148197
638	109853	148018
639	110020	147839
640	110179	147650
641	110343	147468
642	110506	147284
643	110675	147109
644	110829	146914
645	110996	146735
646	111156	146547
647	111312	146355
648	111468	146163
649	111628	145975
650	111787	145786
651	111942	145594
652	112129	145441
653	112284	145248
654	112435	145050
655	112603	144874
656	112777	144705
657	112929	144509
658	113095	144329
659	113266	144157
660	113418	143961
661	113576	143771
662	113734	143583
663	113905	143411
664	114067	143227
665	114233	143049
666	114396	142866
667	114551	142674
668	114696	142470
669	114850	142277
670	114995	142073
671	115153	141886
672	115325	141715
673	115492	141537
674	115669	141374
675	115837	141198
676	116003	141020
677	116175	140850
678	116336	140665
679	116502	140488
680	116665	140307
681	116839	140138
682	117001	139956
683	117166	139777
684	117329	139596
685	117495	139418
686	117668	139249
687	117839	139078
688	118008	138904
689	118160	138709
690	118325	138531
691	118495	138358
692	118669	138191
693	118840	138019
694	119008	137844
695	119179	137672
696	119344	137494
697	119520	137328
698	119731	137202
699	119897	137025
700	120066	136851
701	120239	136682
702	120414	136515
703	120582	136340
704	120745	136159
705	120888	135957
706	121046	135770
707	121195	135574
708	121357	135393
709	121528	135222
710	121702	135053
711	121884	134894
712	122027	134692
713	122200	134522
714	122372	134353
715	122540	134178
716	122707	134002
717	122863	133815
718	123031	133640
719	123200	133467
720	123376	133301
721	123523	133104
722	123693	132932
723	123865	132762
724	124029	132582
725	124196	132407
726	124365	132234
727	124538	132065
728	124697	131881
729	124861	131703
730	125031	131531
731	125198	131356
732	125370	131185
733	125541	131015
734	125701	130832
735	125853	130640
736	126024	130470
737	126186	130290
738	126364	130125
739	126531	129950
740	126689	129766
741	126847	129582
742	127013	129407
743	127183	129234
744	127347	129056
745	127510	128878
746	127682	128708
747	127839	128522
748	128001	128343
749	128172	128172
750	128337	127995
751	128510	127827
752	128689	127663
753	128856	127489
754	129024	127315
755	129187	127137
756	129358	126965
757	129522	126788
758	129695	126619
759	129868	126450
760	130067	126307
761	130238	126136
762	130396	125952
763	130570	125785
764	130745	125618
765	130919	125450
766	131092	125281
767	131264	125111
768	131431	124936
