iter	PRAUC:type=Classic	Logloss
0	0.2635297131	0.532489051
1	0.3950091535	0.4208369599
2	0.3969631724	0.3400761346
3	0.40748908	0.2692299698
4	0.4305637923	0.2087587396
5	0.5254836939	0.1677019195
6	0.5806414525	0.1334617837
7	0.6205186027	0.1075538169
8	0.64511861	0.08776580207
9	0.6494156138	0.07480030702
10	0.6648327211	0.06171512628
11	0.6784114969	0.05125963899
12	0.6824828889	0.04450820364
13	0.6875193871	0.03915952996
14	0.6906683866	0.03467749777
15	0.6952033826	0.03115014215
16	0.7042958711	0.02824894453
17	0.7102421125	0.02616890646
18	0.7170116926	0.02412040144
19	0.7274698033	0.02234346608
20	0.7318240498	0.02093817153
21	0.7358920002	0.0198472517
22	0.7388802336	0.0188088885
23	0.7382897003	0.01820501745
24	0.7410667679	0.01743140743
25	0.7431796496	0.01676830248
26	0.7431788022	0.01634734212
27	0.7444583717	0.01582819898
28	0.7452961569	0.0154713928
29	0.7469966366	0.01487347706
30	0.7475005006	0.01453408821
31	0.7488798447	0.01426867064
32	0.7657670743	0.01350554532
33	0.7798820399	0.01296025145
34	0.7796231546	0.01283339373
35	0.7872491903	0.01239474731
36	0.7913556716	0.01199512203
37	0.79872301	0.01156846797
38	0.7987829993	0.01150087562
39	0.8026925832	0.0112109125
40	0.8040520565	0.01111030555
41	0.8100956361	0.01082482268
42	0.8113255745	0.010720022
43	0.8116746921	0.01067284494
44	0.8130959321	0.01058390283
45	0.8136434977	0.01052607657
46	0.8139511717	0.01045294078
47	0.8139206432	0.01039586206
48	0.8146354168	0.01031289623
49	0.8177879716	0.01020701429
50	0.8180971652	0.01017309146
51	0.8183591169	0.01014275604
52	0.8185503668	0.01008091134
53	0.8192279983	0.01003822041
54	0.8197949542	0.009985403925
55	0.8198842479	0.009968262798
56	0.8235509513	0.009843402631
57	0.825502557	0.009680923799
58	0.8255438529	0.009663624585
59	0.8260180858	0.009629291438
60	0.8262126065	0.009607859497
61	0.826623994	0.009577826249
62	0.8281136276	0.00945716863
63	0.8283033036	0.009424441835
64	0.8286792004	0.009398712569
65	0.829058319	0.009365495051
66	0.8294818499	0.009340640854
67	0.8302026755	0.009312155666
68	0.8327640547	0.009205928126
69	0.8330416971	0.009188120556
70	0.8338433266	0.009130818433
71	0.8355104036	0.009051608636
72	0.8359419588	0.009027793465
73	0.8362497374	0.009011724555
74	0.8374896722	0.008939695403
75	0.8377935418	0.008920649937
76	0.8389446834	0.00886229405
77	0.8397076099	0.008811096713
78	0.8403153639	0.008784217122
79	0.8410818334	0.008686722564
80	0.8413783617	0.008668286301
81	0.8419776746	0.008639216033
82	0.8423559839	0.008618355139
83	0.8425921645	0.00860624509
84	0.8438122039	0.008542307791
85	0.8437598673	0.008531699703
86	0.844893827	0.008470275131
87	0.8451059442	0.008457681423
88	0.8466172237	0.008392129859
89	0.8473532747	0.008365299727
90	0.847583924	0.008353525697
91	0.8490799264	0.008274510089
92	0.8503698732	0.008216551017
93	0.8508988005	0.008193377212
94	0.8515804384	0.008156268764
95	0.851875964	0.008146257208
96	0.8519963289	0.008135670362
97	0.8521584014	0.008117448221
98	0.8528457985	0.008083701312
99	0.8535671587	0.00805695199
100	0.8540983998	0.008037274015
101	0.8556320498	0.007963829429
102	0.8560376925	0.007946764753
103	0.8563378366	0.007934682767
104	0.8566731829	0.007924105701
105	0.8573261774	0.007894206606
106	0.8579425972	0.007867316553
107	0.8583416705	0.007850800809
108	0.8585166449	0.007840531267
109	0.8588603493	0.007821590625
110	0.8589462378	0.007815384308
111	0.8602484003	0.007758090677
112	0.8617450363	0.007699464776
113	0.862049006	0.007689605353
114	0.8622355308	0.007679648669
115	0.8629229811	0.0076473296
116	0.8633609762	0.007629658246
117	0.8634310865	0.007624868527
118	0.8647009101	0.007563202924
119	0.8649512432	0.007551267807
120	0.8662218974	0.007493189
121	0.8671566731	0.007457541764
122	0.8673220018	0.007446808167
123	0.8676245043	0.007433712189
124	0.8677973234	0.007425062657
125	0.8687399484	0.007378023706
126	0.8689189552	0.007369359656
127	0.8699702465	0.007323750446
128	0.8709262939	0.007279523871
129	0.871452925	0.007254256245
130	0.8718793413	0.007236164776
131	0.8721137304	0.00722241176
132	0.8722137613	0.007213243423
133	0.8724257485	0.007202109556
134	0.8732953001	0.0071633651
135	0.8735792645	0.00715166477
136	0.8738956436	0.007139018514
137	0.8739851579	0.007132687345
138	0.8746717885	0.007102574505
139	0.8747616548	0.007096018469
140	0.8755910662	0.007062833454
141	0.8758154047	0.007053881166
142	0.8765775299	0.00700948426
143	0.8767999683	0.006998712403
144	0.8774552601	0.006958436886
145	0.8778241673	0.006938310501
146	0.878587421	0.006906263173
147	0.8788901062	0.006891450943
148	0.8790143025	0.006884268647
149	0.8792259529	0.006874669985
150	0.8794878691	0.006864076348
151	0.8802057455	0.006835308715
152	0.8808827871	0.006808754789
153	0.8809395491	0.006803278486
154	0.8810414664	0.006796932321
155	0.8815113803	0.006763166318
156	0.8816570161	0.006755498744
157	0.8820206458	0.006736204381
158	0.8821364285	0.006730609808
159	0.8826370974	0.006710491688
160	0.8827302252	0.006704669009
161	0.8832967047	0.006680612231
162	0.8834677158	0.006672633074
163	0.8840090988	0.006646613361
164	0.8841633866	0.006638335613
165	0.8842781244	0.006630951588
166	0.8844272238	0.006625156401
167	0.8844980105	0.006621095385
168	0.8847110115	0.006608488336
169	0.8850257728	0.006594878792
170	0.885311207	0.00657860968
171	0.8856233655	0.006565333695
172	0.8858217436	0.006555096046
173	0.8860301085	0.006540789896
174	0.8861529593	0.006535375165
175	0.8863573272	0.006527249445
176	0.8864727365	0.006521232566
177	0.8866157924	0.006512677938
178	0.8870174998	0.006495252313
179	0.8872379718	0.006486118257
180	0.8876969768	0.006465270671
181	0.8877895932	0.006459738094
182	0.8878719045	0.006455529807
183	0.8879610381	0.006450606226
184	0.8886540672	0.006417121985
185	0.8889654226	0.006402595056
186	0.8890298316	0.00639878491
187	0.8891041224	0.00639502491
188	0.8893279628	0.006384574503
189	0.8899578504	0.00636273244
190	0.8906523918	0.006336055799
191	0.8907052029	0.006332673366
192	0.8908358629	0.0063260427
193	0.8914368152	0.006303427394
194	0.8914835825	0.006300765039
195	0.8919883211	0.006272774747
196	0.8920664885	0.006265998248
197	0.8922964502	0.006259226605
198	0.892413456	0.006253686713
199	0.8926355968	0.006242939006
200	0.8928527511	0.006233938037
201	0.8929369123	0.006229831901
202	0.8929718615	0.006227801005
203	0.8933067618	0.006206793537
204	0.8936403287	0.006192164187
205	0.8939197486	0.006177538159
206	0.8941488698	0.006162353484
207	0.8945407679	0.006148115162
208	0.8951495033	0.006119066099
209	0.8953348731	0.006108033113
210	0.8954826563	0.006101161637
211	0.895678474	0.006093633021
212	0.8957589363	0.006088835761
213	0.8959451621	0.00608376489
214	0.896056737	0.006078300939
215	0.8962657011	0.00606697176
216	0.8963390577	0.006063439912
217	0.8969000332	0.006044244692
218	0.89698412	0.006040283452
219	0.8972327032	0.006029664335
220	0.8975638388	0.006018295619
221	0.8976441776	0.006013508908
222	0.8977024952	0.006009946297
223	0.8981687771	0.005984448127
224	0.8982165317	0.005980761591
225	0.8982415818	0.005977012294
226	0.8987551601	0.005963760847
227	0.8992024615	0.005945247241
228	0.8994005141	0.005940145455
229	0.8994431021	0.005937558755
230	0.8995129518	0.005933951814
231	0.8995885736	0.005929606219
232	0.8999470056	0.005917229165
233	0.9000076347	0.005913556762
234	0.9003638286	0.005896853292
235	0.9006019812	0.0058863275
236	0.9007591326	0.00588139007
237	0.9008450442	0.005875873748
238	0.9010856197	0.005868477825
239	0.9011213337	0.005866255068
240	0.9012063104	0.005862443725
241	0.9012913382	0.005858250986
242	0.9014560707	0.005853458136
243	0.9017169229	0.005840185753
244	0.9019526524	0.005830600291
245	0.9021335258	0.005820910778
246	0.9025433503	0.005806863794
247	0.9026743123	0.005800136569
248	0.90305004	0.005779971478
249	0.9031969091	0.005768593505
250	0.903326895	0.005762683916
251	0.9033505867	0.005759706778
252	0.9034014209	0.005755712581
253	0.9035050051	0.00575089873
254	0.9035621847	0.005748374826
255	0.903622578	0.005746007511
256	0.9037480455	0.005742611251
257	0.9039543258	0.005730676179
258	0.9040181171	0.005727079288
259	0.9041752878	0.005720335287
260	0.9044202046	0.005707908564
261	0.9046725896	0.005694959001
262	0.9048022995	0.005691650125
263	0.9051161609	0.005671174987
264	0.905373332	0.00566000713
265	0.9057158861	0.0056428128
266	0.9057727779	0.005640791458
267	0.9058679145	0.005636337774
268	0.9059892852	0.005631540472
269	0.9062245368	0.005618801089
270	0.9065404549	0.005602013781
271	0.9066564513	0.00559150678
272	0.9067385821	0.005588150834
273	0.9068803529	0.005579976309
274	0.9069925567	0.005577245736
275	0.9071412771	0.005570333174
276	0.9072665123	0.00556707599
277	0.9073892393	0.005559730922
278	0.9075509797	0.005553354489
279	0.9075738471	0.005550689766
280	0.9077857206	0.005537708521
281	0.908227207	0.005519925827
282	0.9083465422	0.005516021799
283	0.9085751414	0.005497091205
284	0.9087006273	0.00549136954
285	0.9087574238	0.005488424509
286	0.9088687853	0.00548331444
287	0.9090357978	0.00547695707
288	0.9090634314	0.005474235686
289	0.9092406897	0.005467715973
290	0.9093802431	0.005462482055
291	0.9094519317	0.00546063054
292	0.9097703097	0.005448131137
293	0.9099259803	0.005442066428
294	0.9100609511	0.005437163719
295	0.9104218874	0.005423697953
296	0.9105322809	0.005419354988
297	0.9106218048	0.005416505206
298	0.9107469813	0.005410725053
