taxa_falsos_positivos,taxa_verdadeiros_positivos,threshold
0.0,0.0,inf
0.0,0.0007987220447284345,0.9999194434778264
0.0,0.050319488817891375,0.9995875076680736
0.0,0.051916932907348244,0.9995832116820167
0.0,0.06469648562300319,0.9995380691775738
0.0,0.06629392971246006,0.9995376382811734
0.0,0.5247603833865815,0.9788935801039419
5.174671020289885e-06,0.5247603833865815,0.9786398738316132
5.174671020289885e-06,0.6309904153354633,0.9213065841458239
1.034934204057977e-05,0.6309904153354633,0.9212776569954645
1.034934204057977e-05,0.634185303514377,0.9200179864620502
2.069868408115954e-05,0.634185303514377,0.9181011162199751
2.069868408115954e-05,0.6533546325878594,0.8682993622026641
2.5873355101449426e-05,0.6533546325878594,0.8674992608121576
2.5873355101449426e-05,0.6565495207667732,0.8586584782409498
3.104802612173931e-05,0.6565495207667732,0.8545983744190845
3.104802612173931e-05,0.6573482428115016,0.8534980647942828
3.62226971420292e-05,0.6573482428115016,0.8522903738648374
3.62226971420292e-05,0.6613418530351438,0.8437849524983616
4.139736816231908e-05,0.6613418530351438,0.842065913654071
4.139736816231908e-05,0.6629392971246006,0.8369303845191768
4.657203918260897e-05,0.6629392971246006,0.8322029681207129
4.657203918260897e-05,0.6637380191693291,0.8303316720716594
5.174671020289885e-05,0.6637380191693291,0.8268777166807103
5.174671020289885e-05,0.6693290734824281,0.8096053390394943
5.692138122318874e-05,0.6693290734824281,0.8082849973009991
5.692138122318874e-05,0.6821086261980831,0.7859372076921631
6.209605224347862e-05,0.6821086261980831,0.7808483053060947
6.209605224347862e-05,0.6845047923322684,0.7721346935047507
6.727072326376851e-05,0.6845047923322684,0.7718783321303798
6.727072326376851e-05,0.6932907348242812,0.7571063637895986
7.24453942840584e-05,0.6932907348242812,0.7526125294725751
7.24453942840584e-05,0.702076677316294,0.7407695701833567
7.762006530434828e-05,0.702076677316294,0.739143995778461
7.762006530434828e-05,0.7028753993610224,0.7386780664413461
8.279473632463816e-05,0.7028753993610224,0.7379785694796214
8.279473632463816e-05,0.7036741214057508,0.7374162555876542
9.314407836521793e-05,0.7036741214057508,0.7360544567578745
9.314407836521793e-05,0.7100638977635783,0.7310538643691756
0.00010866809142608759,0.7100638977635783,0.7256435086392954
0.00010866809142608759,0.713258785942492,0.7210602598351669
0.00011384276244637748,0.713258785942492,0.7203508104356926
0.00011384276244637748,0.7148562300319489,0.7186270399158948
0.00011901743346666736,0.7148562300319489,0.7151637946615244
0.00011901743346666736,0.7436102236421726,0.6562292309634065
0.00012419210448695725,0.7436102236421726,0.6557839420628386
0.00012419210448695725,0.744408945686901,0.6542543487192213
0.00012936677550724713,0.744408945686901,0.6542314440657834
0.00012936677550724713,0.7531948881789138,0.6391252108615657
0.0001397161175478269,0.7531948881789138,0.6373496247799444
0.0001397161175478269,0.7547923322683706,0.632709507378697
0.0001448907885681168,0.7547923322683706,0.6280504680544622
0.0001448907885681168,0.755591054313099,0.6241970180905863
0.00015006545958840667,0.755591054313099,0.6151156950182368
0.00015006545958840667,0.7595846645367412,0.6031652919822516
