precision,recall,threshold
0.006436984899820567,1.0,7.583238277940751e-08
0.006437017994858612,1.0,8.436241531328372e-08
0.006437051090236968,1.0,1.0697923511351359e-07
0.00643708418595564,1.0,1.1886953364064611e-07
0.006437117282014633,1.0,1.3156643140728815e-07
0.006437150378413952,1.0,1.3411481094220457e-07
0.006437183475153603,1.0,1.41438697396904e-07
0.006437216572233591,1.0,1.427719176115695e-07
0.006437249669653921,1.0,1.4585881381146325e-07
0.006437282767414598,1.0,1.4836464248594017e-07
0.006437315865515628,1.0,1.6052238586738933e-07
0.006437348963957016,1.0,1.6101791916800744e-07
0.006437382062738767,1.0,1.6693152231531933e-07
0.006437415161860886,1.0,1.7086926305010647e-07
0.006437448261323379,1.0,1.7409702512457564e-07
0.0064374813611262505,1.0,1.8034443435965189e-07
0.006437514461269507,1.0,1.8171629210711752e-07
0.006437547561753152,1.0,1.9367446997457144e-07
0.006437580662577192,1.0,1.958607110699703e-07
0.006437613763741632,1.0,1.9989781875471857e-07
0.006437646865246477,1.0,2.0492831278507705e-07
0.006437679967091732,1.0,2.0863426053928537e-07
0.006437713069277403,1.0,2.1072048854788084e-07
0.0064377461718034944,1.0,2.142105586636742e-07
0.006437779274670013,1.0,2.1463054058506798e-07
0.006437812377876962,1.0,2.1760296196056245e-07
0.006437845481424348,1.0,2.256534667513577e-07
0.006437878585312176,1.0,2.3002093322457465e-07
0.00643791168954045,1.0,2.353347660492719e-07
0.006437944794109178,1.0,2.457404078823749e-07
0.0064379778990183625,1.0,2.4603652909949827e-07
0.006438011004268011,1.0,2.534372565049308e-07
0.0064380441098581265,1.0,2.5421079901110453e-07
0.006438077215788716,1.0,2.545099762513742e-07
0.006438110322059784,1.0,2.5644292150425575e-07
0.006438143428671336,1.0,2.587877780570035e-07
0.006438176535623377,1.0,2.5879821268054215e-07
0.006438209642915913,1.0,2.6017727892359765e-07
0.006438242750548948,1.0,2.602748732159325e-07
0.006438275858522488,1.0,2.6093282491360224e-07
0.006438308966836538,1.0,2.678221344804214e-07
0.0064383420754911035,1.0,2.6824142906733236e-07
0.00643837518448619,1.0,2.685048173090534e-07
0.0064384082938218025,1.0,2.69081240804914e-07
0.006438441403497946,1.0,2.7546509057196106e-07
0.006438474513514625,1.0,2.756217568435518e-07
0.006438507623871847,1.0,2.8091119815380556e-07
0.006438540734569616,1.0,2.823838458118026e-07
0.0064385738456079365,1.0,2.8665318946534997e-07
0.006438606956986814,1.0,2.8845632984400714e-07
0.006438640068706255,1.0,2.895888476475762e-07
0.006438673180766264,1.0,2.9139900199928294e-07
0.006438706293166846,1.0,2.930394116370517e-07
0.006438739405908007,1.0,2.9398643384441496e-07
0.00643877251898975,1.0,2.981305316318426e-07
0.006438805632412083,1.0,2.9982106911584394e-07
0.006438838746175011,1.0,3.042615461631293e-07
0.006438871860278538,1.0,3.049996198354385e-07
0.006438904974722669,1.0,3.06582976497145e-07
0.006438938089507411,1.0,3.090785462735029e-07
0.006438971204632768,1.0,3.1285672378454514e-07
0.006439004320098745,1.0,3.1501333461432196e-07
0.006439037435905348,1.0,3.1614091734438937e-07
0.006439070552052582,1.0,3.1755509367840074e-07
0.006439103668540453,1.0,3.2518120909878145e-07
0.006439136785368965,1.0,3.2562749932653916e-07
0.006439169902538123,1.0,3.2567779925302547e-07
0.006439203020047934,1.0,3.3167424695339874e-07
0.006439236137898402,1.0,3.357556876039957e-07
0.0064392692560895325,1.0,3.3625391341438256e-07
0.0064393023746213305,1.0,3.368844671334211e-07
0.006439335493493802,1.0,3.407495271964987e-07
0.006439368612706952,1.0,3.440675715166578e-07
0.006439401732260786,1.0,3.4724341318287375e-07
0.006439434852155308,1.0,3.4744105234970486e-07
0.006439467972390524,1.0,3.479089018795556e-07
0.0064395010929664395,1.0,3.494014126756777e-07
0.00643953421388306,1.0,3.588870739472429e-07
0.00643956733514039,1.0,3.647478335313009e-07
0.006439600456738435,1.0,3.6704939799625827e-07
0.006439633578677201,1.0,3.6743650945701933e-07
0.006439666700956691,1.0,3.6850221341293405e-07
0.006439699823576913,1.0,3.686675588594122e-07
0.006439732946537872,1.0,3.710272714227297e-07
0.006439766069839572,1.0,3.7328849413436824e-07
0.006439799193482018,1.0,3.804218470635165e-07
0.006439832317465216,1.0,3.812240308960943e-07
0.0064398654417891716,1.0,3.8196152570617337e-07
0.006439898566453889,1.0,3.857222875948509e-07
0.006439931691459375,1.0,3.860322830721795e-07
0.006439964816805634,1.0,3.986268570964224e-07
0.00643999794249267,1.0,4.026931509423775e-07
0.00644003106852049,1.0,4.075193084872711e-07
0.006440064194889099,1.0,4.0925257212501206e-07
0.006440097321598502,1.0,4.124038321962565e-07
0.006440130448648705,1.0,4.125804093341518e-07
0.006440163576039711,1.0,4.1619627932371184e-07
0.006440196703771528,1.0,4.165616096429174e-07
0.006440229831844159,1.0,4.209424588364719e-07
0.006440262960257611,1.0,4.2347966179056266e-07
0.006440296089011888,1.0,4.2616573849870177e-07
0.006440329218106996,1.0,4.2732772994499275e-07
0.00644036234754294,1.0,4.315372127754359e-07
0.006440395477319725,1.0,4.322258895443361e-07
0.006440428607437358,1.0,4.352679912822419e-07
0.006440461737895841,1.0,4.363311471582194e-07
0.006440494868695182,1.0,4.367759733283997e-07
0.006440527999835386,1.0,4.3695628716284367e-07
0.006440561131316457,1.0,4.3916833100912875e-07
0.006440594263138401,1.0,4.403334336782062e-07
0.006440627395301223,1.0,4.4102100435377517e-07
0.006440660527804928,1.0,4.4182757796900265e-07
0.006440693660649522,1.0,4.4415222442656403e-07
0.006440726793835011,1.0,4.446602222264352e-07
0.006440759927361398,1.0,4.4516137550277034e-07
0.006440793061228689,1.0,4.4670251755913515e-07
0.006440826195436891,1.0,4.474918326171312e-07
0.0064408593299860074,1.0,4.4870951264429193e-07
0.006440892464876044,1.0,4.510493129983777e-07
0.006440925600107006,1.0,4.519354667491143e-07
0.006440958735678899,1.0,4.5523558238769773e-07
0.006440991871591728,1.0,4.5589617583408874e-07
0.006441025007845498,1.0,4.5615444917054094e-07
0.0064410581444402145,1.0,4.580589215940925e-07
0.006441091281375883,1.0,4.5811777961673455e-07
0.006441124418652509,1.0,4.5909847483671614e-07
0.006441157556270096,1.0,4.621778961343432e-07
0.006441190694228652,1.0,4.663217370239563e-07
0.00644122383252818,1.0,4.668835696638083e-07
0.0064412569711686865,1.0,4.674241005959402e-07
0.006441290110150177,1.0,4.674510713330473e-07
0.006441323249472655,1.0,4.675886127516069e-07
0.0064413563891361275,1.0,4.681430615621374e-07
0.006441389529140599,1.0,4.7322842521646463e-07
0.0064414226694860756,1.0,4.733456919862715e-07
0.006441455810172561,1.0,4.747121327500534e-07
0.006441488951200062,1.0,4.79205420834418e-07
0.006441522092568583,1.0,4.815585781122326e-07
0.006441555234278129,1.0,4.835607625777295e-07
0.006441588376328706,1.0,4.854618349839536e-07
0.006441621518720319,1.0,4.90650476655762e-07
0.006441654661452974,1.0,4.911795044065998e-07
0.006441687804526675,1.0,4.916711742330041e-07
0.006441720947941427,1.0,4.931890131139404e-07
0.0064417540916972375,1.0,4.93848948130005e-07
0.00644178723579411,1.0,4.940865282200161e-07
0.00644182038023205,1.0,4.94797048158922e-07
0.006441853525011062,1.0,4.952524585729496e-07
0.006441886670131153,1.0,4.957481592170004e-07
0.006441919815592327,1.0,5.000692751292485e-07
0.006441952961394591,1.0,5.055638568917846e-07
0.006441986107537947,1.0,5.061932394766317e-07
0.006442019254022403,1.0,5.076774456104613e-07
0.0064420524008479635,1.0,5.087461045366025e-07
0.006442085548014634,1.0,5.150370704990746e-07
0.0064421186955224185,1.0,5.16107974211532e-07
0.006442151843371324,1.0,5.174257035494106e-07
0.006442184991561355,1.0,5.194050041825818e-07
0.006442218140092517,1.0,5.232611723735285e-07
0.006442251288964814,1.0,5.244013766234957e-07
0.006442284438178254,1.0,5.264537991182535e-07
0.006442317587732839,1.0,5.301492286821457e-07
0.006442350737628577,1.0,5.340725266808742e-07
0.0064423838878654716,1.0,5.350898697725147e-07
0.0064424170384435285,1.0,5.366548400042599e-07
0.0064424501893627535,1.0,5.368489783406366e-07
0.006442483340623151,1.0,5.384083996489003e-07
0.006442516492224727,1.0,5.392347707865974e-07
0.0064425496441674855,1.0,5.394575566114757e-07
0.006442582796451434,1.0,5.396235899026466e-07
0.006442615949076576,1.0,5.439021101852702e-07
0.006442649102042917,1.0,5.472008765045341e-07
0.006442682255350462,1.0,5.489203394700845e-07
0.006442715408999218,1.0,5.530772347676913e-07
0.006442748562989188,1.0,5.532784033054177e-07
0.006442781717320379,1.0,5.538660553041833e-07
0.0064428148719927955,1.0,5.5415369204042e-07
0.006442848027006443,1.0,5.542286335349547e-07
0.006442881182361326,1.0,5.542905560404417e-07
0.006442914338057451,1.0,5.548623066388463e-07
0.006442947494094822,1.0,5.553434532096657e-07
0.006442980650473446,1.0,5.612642410702342e-07
